case                                                         | baseline_ms | kernel_ms | speedup(x)
{"K":4096,"M":16,"N":6144,"in_dtype":"torch.float8_e4m3fn"}  | 0.013338    | 0.012431  | 1.073     
{"K":4096,"M":16,"N":4096,"in_dtype":"torch.float8_e4m3fn"}  | 0.009999    | 0.009209  | 1.086     
{"K":4096,"M":16,"N":24576,"in_dtype":"torch.float8_e4m3fn"} | 0.044258    | 0.039849  | 1.111     
{"K":12288,"M":16,"N":4096,"in_dtype":"torch.float8_e4m3fn"} | 0.025238    | 0.022292  | 1.132     
{"K":5120,"M":16,"N":7168,"in_dtype":"torch.float8_e4m3fn"}  | 0.017876    | 0.017571  | 1.017     
{"K":5120,"M":16,"N":5120,"in_dtype":"torch.float8_e4m3fn"}  | 0.014298    | 0.013273  | 1.077     
{"K":5120,"M":16,"N":34816,"in_dtype":"torch.float8_e4m3fn"} | 0.069771    | 0.065308  | 1.068     
{"K":17408,"M":16,"N":5120,"in_dtype":"torch.float8_e4m3fn"} | 0.040619    | 0.035936  | 1.130     
{"K":5120,"M":16,"N":10240,"in_dtype":"torch.float8_e4m3fn"} | 0.026698    | 0.023252  | 1.148     
{"K":8192,"M":16,"N":5120,"in_dtype":"torch.float8_e4m3fn"}  | 0.020973    | 0.019374  | 1.083     
{"K":5120,"M":16,"N":51200,"in_dtype":"torch.float8_e4m3fn"} | 0.096473    | 0.093298  | 1.034     
{"K":25600,"M":16,"N":5120,"in_dtype":"torch.float8_e4m3fn"} | 0.055547    | 0.049965  | 1.112     
{"K":5120,"M":16,"N":14336,"in_dtype":"torch.float8_e4m3fn"} | 0.034675    | 0.030271  | 1.145     
{"K":6144,"M":16,"N":5120,"in_dtype":"torch.float8_e4m3fn"}  | 0.016348    | 0.015781  | 1.036     
{"K":5120,"M":16,"N":16384,"in_dtype":"torch.float8_e4m3fn"} | 0.038227    | 0.033522  | 1.140     
{"K":2048,"M":24,"N":4096,"in_dtype":"torch.float8_e4m3fn"}  | 0.007393    | 0.006310  | 1.172     
{"K":2048,"M":24,"N":2048,"in_dtype":"torch.float8_e4m3fn"}  | 0.006099    | 0.005916  | 1.031     
{"K":2048,"M":24,"N":12288,"in_dtype":"torch.float8_e4m3fn"} | 0.015902    | 0.012586  | 1.263     
{"K":6144,"M":24,"N":2048,"in_dtype":"torch.float8_e4m3fn"}  | 0.010700    | 0.008792  | 1.217     
{"K":2560,"M":24,"N":6144,"in_dtype":"torch.float8_e4m3fn"}  | 0.009955    | 0.008964  | 1.111     
{"K":4096,"M":24,"N":2560,"in_dtype":"torch.float8_e4m3fn"}  | 0.008724    | 0.007592  | 1.149     
{"K":2560,"M":24,"N":19456,"in_dtype":"torch.float8_e4m3fn"} | 0.027548    | 0.022796  | 1.208     
{"K":9728,"M":24,"N":2560,"in_dtype":"torch.float8_e4m3fn"}  | 0.016295    | 0.013774  | 1.183     
{"K":4096,"M":24,"N":6144,"in_dtype":"torch.float8_e4m3fn"}  | 0.014083    | 0.012688  | 1.110     
{"K":4096,"M":24,"N":4096,"in_dtype":"torch.float8_e4m3fn"}  | 0.010580    | 0.009387  | 1.127     
{"K":4096,"M":24,"N":24576,"in_dtype":"torch.float8_e4m3fn"} | 0.045363    | 0.040193  | 1.129     
{"K":12288,"M":24,"N":4096,"in_dtype":"torch.float8_e4m3fn"} | 0.025884    | 0.022832  | 1.134     
{"K":5120,"M":24,"N":7168,"in_dtype":"torch.float8_e4m3fn"}  | 0.018294    | 0.017759  | 1.030     
{"K":5120,"M":24,"N":5120,"in_dtype":"torch.float8_e4m3fn"}  | 0.014454    | 0.013420  | 1.077     
{"K":5120,"M":24,"N":34816,"in_dtype":"torch.float8_e4m3fn"} | 0.074246    | 0.066691  | 1.113     
{"K":17408,"M":24,"N":5120,"in_dtype":"torch.float8_e4m3fn"} | 0.042822    | 0.036429  | 1.175     
{"K":5120,"M":24,"N":10240,"in_dtype":"torch.float8_e4m3fn"} | 0.028436    | 0.023685  | 1.201     
{"K":8192,"M":24,"N":5120,"in_dtype":"torch.float8_e4m3fn"}  | 0.021677    | 0.020021  | 1.083     
{"K":5120,"M":24,"N":51200,"in_dtype":"torch.float8_e4m3fn"} | 0.106250    | 0.094076  | 1.129     
{"K":25600,"M":24,"N":5120,"in_dtype":"torch.float8_e4m3fn"} | 0.059920    | 0.051028  | 1.174     
{"K":5120,"M":24,"N":14336,"in_dtype":"torch.float8_e4m3fn"} | 0.036464    | 0.030765  | 1.185     
{"K":6144,"M":24,"N":5120,"in_dtype":"torch.float8_e4m3fn"}  | 0.017141    | 0.016122  | 1.063     
{"K":5120,"M":24,"N":16384,"in_dtype":"torch.float8_e4m3fn"} | 0.039069    | 0.034115  | 1.145     
{"K":2048,"M":32,"N":4096,"in_dtype":"torch.float8_e4m3fn"}  | 0.007281    | 0.006442  | 1.130     
{"K":2048,"M":32,"N":2048,"in_dtype":"torch.float8_e4m3fn"}  | 0.006151    | 0.005594  | 1.099     
{"K":2048,"M":32,"N":12288,"in_dtype":"torch.float8_e4m3fn"} | 0.015638    | 0.012648  | 1.236     
{"K":6144,"M":32,"N":2048,"in_dtype":"torch.float8_e4m3fn"}  | 0.010477    | 0.008938  | 1.172     
{"K":2560,"M":32,"N":6144,"in_dtype":"torch.float8_e4m3fn"}  | 0.010059    | 0.008953  | 1.124     
{"K":4096,"M":32,"N":2560,"in_dtype":"torch.float8_e4m3fn"}  | 0.008761    | 0.007632  | 1.148     
{"K":2560,"M":32,"N":19456,"in_dtype":"torch.float8_e4m3fn"} | 0.027754    | 0.023588  | 1.177     
{"K":9728,"M":32,"N":2560,"in_dtype":"torch.float8_e4m3fn"}  | 0.016248    | 0.013752  | 1.182     
{"K":4096,"M":32,"N":6144,"in_dtype":"torch.float8_e4m3fn"}  | 0.013939    | 0.012666  | 1.100     
{"K":4096,"M":32,"N":4096,"in_dtype":"torch.float8_e4m3fn"}  | 0.010470    | 0.009377  | 1.117     
{"K":4096,"M":32,"N":24576,"in_dtype":"torch.float8_e4m3fn"} | 0.044904    | 0.041048  | 1.094     
{"K":12288,"M":32,"N":4096,"in_dtype":"torch.float8_e4m3fn"} | 0.025614    | 0.022488  | 1.139     
{"K":5120,"M":32,"N":7168,"in_dtype":"torch.float8_e4m3fn"}  | 0.018537    | 0.017721  | 1.046     
{"K":5120,"M":32,"N":5120,"in_dtype":"torch.float8_e4m3fn"}  | 0.014663    | 0.013482  | 1.088     
{"K":5120,"M":32,"N":34816,"in_dtype":"torch.float8_e4m3fn"} | 0.072471    | 0.066961  | 1.082     
{"K":17408,"M":32,"N":5120,"in_dtype":"torch.float8_e4m3fn"} | 0.041249    | 0.036397  | 1.133     
{"K":5120,"M":32,"N":10240,"in_dtype":"torch.float8_e4m3fn"} | 0.028489    | 0.024365  | 1.169     
{"K":8192,"M":32,"N":5120,"in_dtype":"torch.float8_e4m3fn"}  | 0.021258    | 0.020235  | 1.051     
{"K":5120,"M":32,"N":51200,"in_dtype":"torch.float8_e4m3fn"} | 0.102319    | 0.095168  | 1.075     
{"K":25600,"M":32,"N":5120,"in_dtype":"torch.float8_e4m3fn"} | 0.057829    | 0.051587  | 1.121     
{"K":5120,"M":32,"N":14336,"in_dtype":"torch.float8_e4m3fn"} | 0.035921    | 0.031239  | 1.150     
{"K":6144,"M":32,"N":5120,"in_dtype":"torch.float8_e4m3fn"}  | 0.016519    | 0.016021  | 1.031     
{"K":5120,"M":32,"N":16384,"in_dtype":"torch.float8_e4m3fn"} | 0.039015    | 0.034414  | 1.134     
